Year,Argentina,South Korea
1960,7360.0,1030.0
1961,7640.0,1070.0
1962,7450.0,1080.0
1963,6950.0,1140.0
1964,7530.0,1220.0
1965,8200.0,1270.0
1966,8030.0,1390.0
1967,8160.0,1480.0
1968,8430.0,1640.0
1969,9110.0,1840.0
1970,9240.0,1980.0
1971,9610.0,2140.0
1972,9610.0,2250.0
1973,9730.0,2550.0
1974,10100.0,2740.0
1975,9940.0,2910.0
1976,9590.0,3240.0
1977,10100.0,3580.0
1978,9510.0,3910.0
1979,10300.0,4190.0
1980,10300.0,4060.0
1981,9630.0,4280.0
1982,9410.0,4570.0
1983,9660.0,5100.0
1984,9660.0,5570.0
1985,9010.0,5950.0
1986,9410.0,6560.0
1987,9520.0,7320.0
1988,9270.0,8120.0
1989,8480.0,8610.0
1990,8150.0,9370.0
1991,8770.0,10300.0
1992,9340.0,10800.0
1993,9970.0,11400.0
1994,10400.0,12400.0
1995,10000.0,13400.0
1996,10400.0,14300.0
1997,11100.0,15100.0
1998,11400.0,14200.0
1999,10900.0,15700.0
2000,10700.0,17000.0
2001,10100.0,17700.0
2002,8940.0,18900.0
2003,9630.0,19400.0
2004,10400.0,20400.0
2005,11200.0,21200.0
2006,12000.0,22200.0
2007,12900.0,23400.0
2008,13300.0,23900.0
2009,12400.0,23900.0
2010,13600.0,25500.0
2011,14200.0,26200.0
2012,13900.0,26700.0
2013,14100.0,27400.0
2014,13600.0,28100.0
2015,13800.0,28700.0
2016,13400.0,29500.0
2017,13600.0,30300.0
2018,13100.0,31000.0
2019,12700.0,31600.0
2020,11300.0,31300.0
